best_solution,best_fitness,total_weight,execution_time,convergence
"[1 0 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0
 0 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 1
 1 1 1 0 0 0 1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 0 1 1]",3278,1500,0.0,"[2544, 2604, 2698, 2761, 2786, 2786, 2816, 2816, 2816, 2816, 2816, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2824, 2838, 2838, 2887, 2946, 2958, 2973, 2973, 2973, 2973, 2973, 3027, 3027, 3027, 3027, 3027, 3027, 3027, 3088, 3088, 3088, 3088, 3088, 3088, 3088, 3088, 3181, 3181, 3181, 3181, 3181, 3181, 3181, 3181, 3181, 3181, 3254, 3254, 3254, 3254, 3254, 3276, 3276, 3276, 3276, 3276, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278, 3278]"
"[0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 0 0
 1 1 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0
 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 0 0]",3214,1500,0.0,"[2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2753, 2788, 2788, 2788, 2788, 2788, 2788, 2825, 2825, 2825, 2825, 2825, 2825, 2875, 2875, 2875, 2875, 2875, 2891, 2891, 2891, 2891, 2904, 2904, 2904, 2904, 2904, 2904, 2904, 2904, 2904, 2913, 2971, 2971, 3009, 3009, 3014, 3014, 3036, 3036, 3036, 3036, 3060, 3060, 3060, 3060, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3138, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214, 3214]"
"[1 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 0
 1 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 0 1
 1 0 1 0 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1]",3591,1498,0.0,"[2311, 2410, 2410, 2410, 2410, 2416, 2468, 2525, 2571, 2612, 2618, 2698, 2698, 2698, 2747, 2747, 2747, 2747, 2747, 2811, 2811, 2826, 2835, 2935, 2935, 2935, 2935, 2935, 2986, 2986, 2986, 2986, 2986, 2986, 2986, 2986, 2986, 3024, 3093, 3185, 3243, 3260, 3260, 3347, 3347, 3347, 3347, 3347, 3347, 3347, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3416, 3444, 3444, 3444, 3444, 3444, 3493, 3522, 3522, 3522, 3522, 3522, 3522, 3522, 3522, 3522, 3522, 3522, 3522, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591, 3591]"
"[1 0 1 1 0 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0
 1 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 0 0 1 0 1
 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 0]",3224,1497,0.015629053115844727,"[2523, 2523, 2523, 2523, 2523, 2523, 2523, 2523, 2523, 2564, 2564, 2564, 2610, 2610, 2644, 2743, 2836, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2858, 2863, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2963, 2973, 2973, 2973, 2973, 2973, 2977, 3064, 3131, 3131, 3131, 3131, 3131, 3131, 3131, 3183, 3183, 3185, 3185, 3185, 3185, 3185, 3185, 3185, 3185, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224, 3224]"
"[1 0 1 1 0 0 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1
 1 1 0 1 0 0 0 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1
 1 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 1]",3102,1496,0.0,"[2565, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2603, 2603, 2603, 2603, 2625, 2625, 2625, 2625, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2645, 2645, 2718, 2718, 2722, 2722, 2722, 2722, 2744, 2766, 2766, 2766, 2766, 2766, 2767, 2767, 2767, 2767, 2767, 2767, 2767, 2767, 2767, 2767, 2767, 2767, 2827, 2827, 2888, 2888, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2974, 2974, 2974, 3037, 3037, 3037, 3037, 3037, 3037, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3052, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102, 3102]"
"[1 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0
 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0
 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 0 1 0 1]",3269,1500,0.0,"[2312, 2312, 2312, 2312, 2378, 2447, 2447, 2447, 2447, 2459, 2459, 2459, 2547, 2547, 2547, 2623, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2709, 2755, 2807, 2854, 2854, 2854, 2854, 2884, 2884, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 2936, 3008, 3008, 3008, 3060, 3060, 3060, 3060, 3060, 3060, 3098, 3098, 3098, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3113, 3202, 3202, 3202, 3202, 3202, 3202, 3202, 3202, 3202, 3202, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3267, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269, 3269]"
"[1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 0 0 0 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 0
 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 1]",3397,1494,0.010311603546142578,"[2634, 2634, 2640, 2640, 2640, 2640, 2640, 2640, 2640, 2640, 2640, 2640, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2744, 2744, 2744, 2744, 2744, 2778, 2816, 2816, 2816, 2866, 2866, 2894, 2916, 2916, 2916, 2922, 3022, 3022, 3065, 3121, 3121, 3121, 3121, 3121, 3121, 3178, 3178, 3178, 3178, 3178, 3178, 3178, 3178, 3213, 3213, 3213, 3213, 3254, 3254, 3254, 3254, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3283, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3336, 3397, 3397, 3397, 3397, 3397, 3397, 3397, 3397, 3397, 3397, 3397, 3397, 3397]"
"[1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1
 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0]",3322,1497,0.003210306167602539,"[2621, 2721, 2721, 2721, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2751, 2802, 2802, 2802, 2802, 2802, 2802, 2802, 2850, 2850, 2850, 2850, 2850, 2873, 2873, 2873, 2873, 2892, 2914, 3012, 3012, 3012, 3012, 3012, 3039, 3039, 3039, 3039, 3039, 3039, 3104, 3104, 3104, 3104, 3104, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3173, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3231, 3273, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322, 3322]"
"[1 1 1 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1
 0 1 1 1 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 1 0 1
 0 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 1 1]",3297,1499,0.0031495094299316406,"[2132, 2206, 2263, 2276, 2276, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2290, 2316, 2372, 2372, 2372, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2419, 2456, 2515, 2515, 2519, 2603, 2603, 2694, 2703, 2802, 2824, 2824, 2824, 2854, 2904, 2967, 2967, 2967, 2984, 3066, 3066, 3135, 3135, 3135, 3135, 3135, 3187, 3187, 3256, 3256, 3256, 3256, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297, 3297]"
"[1 0 0 1 0 1 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1
 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1
 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0 1 0 0 1]",3353,1499,0.006026268005371094,"[2564, 2644, 2644, 2644, 2644, 2644, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2647, 2722, 2737, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2835, 2909, 2945, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 2997, 3065, 3121, 3121, 3121, 3163, 3163, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3259, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3351, 3353, 3353, 3353, 3353, 3353, 3353, 3353, 3353, 3353, 3353, 3353]"
