best_solution,best_fitness,total_weight,execution_time,convergence
"[0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 1
 0 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1
 1 1 1 0 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1]",3383,1500,0.010930776596069336,"[0, 0, 0, 0, 0, 0, 3076, 3076, 3174, 3270, 3331, 3383]"
"[1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 0 1
 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 0 0 1 1 0 0 1
 1 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 1 0]",3411,1408,0.014476776123046875,"[2380, 2479, 2578, 2676, 2772, 2868, 2961, 3054, 3146, 3237, 3326, 3411]"
"[1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1
 1 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1
 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 1 0]",3340,1498,0.004851579666137695,"[2694, 2793, 2892, 2988, 2988, 3078, 3147, 3199, 3199, 3199, 3287, 3340]"
"[0 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0
 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1
 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1]",3309,1499,0.0,"[2591, 2690, 2788, 2884, 2976, 3037, 3037, 3127, 3196, 3257, 3309, 3309]"
"[1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1
 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1
 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 1]",3602,1494,0.0179135799407959,"[2943, 3039, 3132, 3132, 3229, 3321, 3382, 3382, 3441, 3441, 3528, 3602]"
"[1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0 0 1 1 0 0
 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 1 0 0 1
 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1]",3596,1490,0.0,"[3102, 3193, 3193, 3193, 3287, 3287, 3364, 3433, 3494, 3535, 3535, 3596]"
"[1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 1 1 1 0
 1 1 0 1 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1
 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1]",3387,1500,0.015208005905151367,"[2500, 2599, 2698, 2792, 2885, 2977, 3068, 3157, 3244, 3318, 3387, 3387]"
"[1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0
 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0 1
 1 0 1 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0]",3476,1491,0.0,"[2708, 2804, 2898, 2991, 3084, 3176, 3263, 3347, 3399, 3399, 3399, 3476]"
"[1 1 1 1 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 1
 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1
 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 1 0 1 1 0 1 0]",3429,1498,0.0,"[2544, 2643, 2742, 2840, 2934, 3027, 3119, 3210, 3301, 3370, 3370, 3429]"
"[1 1 1 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1 1 0 1
 1 1 0 0 1 1 1 1 1 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1
 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 0 1 1 1 1 0 0 0 1]",3024,1356,0.018521547317504883,"[2012, 2111, 2210, 2306, 2402, 2495, 2587, 2679, 2768, 2855, 2940, 3024]"
